"CUID","Species","Year","Spawner.Abundance","Region"
500,"Chum",1950,NA,"CC"
501,"Chum",1950,NA,"CC"
502,"Chum",1950,NA,"CC"
503,"Chum",1950,NA,"CC"
504,"Chum",1950,NA,"CC"
505,"Chum",1950,NA,"CC"
506,"Chum",1950,NA,"CC"
507,"Chum",1950,NA,"CC"
508,"Chum",1950,NA,"CC"
509,"Chinook",1950,NA,"CC"
510,"Chinook",1950,NA,"CC"
511,"Chinook",1950,NA,"CC"
512,"Chinook",1950,NA,"CC"
513,"Chinook",1950,NA,"CC"
514,"Chinook",1950,NA,"CC"
515,"Chinook",1950,NA,"CC"
516,"Coho",1950,NA,"CC"
517,"Coho",1950,NA,"CC"
518,"Coho",1950,NA,"CC"
519,"Coho",1950,NA,"CC"
520,"Coho",1950,NA,"CC"
521,"Coho",1950,NA,"CC"
522,"Coho",1950,NA,"CC"
523,"Coho",1950,NA,"CC"
524,"Sockeye",1950,NA,"CC"
525,"Sockeye",1950,NA,"CC"
526,"Sockeye",1950,NA,"CC"
527,"Sockeye",1950,NA,"CC"
528,"Sockeye",1950,NA,"CC"
529,"Sockeye",1950,NA,"CC"
530,"Sockeye",1950,NA,"CC"
531,"Sockeye",1950,NA,"CC"
532,"Sockeye",1950,NA,"CC"
533,"Sockeye",1950,NA,"CC"
534,"Sockeye",1950,NA,"CC"
535,"Sockeye",1950,NA,"CC"
536,"Sockeye",1950,NA,"CC"
537,"Sockeye",1950,NA,"CC"
538,"Sockeye",1950,NA,"CC"
539,"Sockeye",1950,NA,"CC"
540,"Sockeye",1950,NA,"CC"
541,"Sockeye",1950,NA,"CC"
542,"Sockeye",1950,NA,"CC"
543,"Sockeye",1950,NA,"CC"
544,"Sockeye",1950,NA,"CC"
545,"Sockeye",1950,NA,"CC"
546,"Sockeye",1950,NA,"CC"
547,"Sockeye",1950,NA,"CC"
548,"Sockeye",1950,NA,"CC"
549,"Sockeye",1950,NA,"CC"
550,"Sockeye",1950,NA,"CC"
551,"Sockeye",1950,NA,"CC"
552,"Sockeye",1950,NA,"CC"
553,"Sockeye",1950,NA,"CC"
554,"Sockeye",1950,NA,"CC"
555,"Sockeye",1950,NA,"CC"
556,"Sockeye",1950,NA,"CC"
557,"Sockeye",1950,NA,"CC"
558,"Sockeye",1950,NA,"CC"
559,"Sockeye",1950,NA,"CC"
560,"Sockeye",1950,NA,"CC"
561,"Sockeye",1950,NA,"CC"
562,"Sockeye",1950,NA,"CC"
563,"Sockeye",1950,NA,"CC"
564,"Sockeye",1950,NA,"CC"
565,"Sockeye",1950,NA,"CC"
566,"Sockeye",1950,NA,"CC"
567,"Sockeye",1950,NA,"CC"
568,"Sockeye",1950,NA,"CC"
569,"Sockeye",1950,NA,"CC"
570,"Sockeye",1950,NA,"CC"
571,"Sockeye",1950,NA,"CC"
572,"Sockeye",1950,NA,"CC"
573,"Sockeye",1950,NA,"CC"
574,"Sockeye",1950,NA,"CC"
575,"Sockeye",1950,NA,"CC"
576,"Sockeye",1950,NA,"CC"
577,"Sockeye",1950,NA,"CC"
578,"Sockeye",1950,NA,"CC"
579,"Sockeye",1950,NA,"CC"
580,"Sockeye",1950,NA,"CC"
581,"Sockeye",1950,NA,"CC"
582,"Sockeye",1950,NA,"CC"
583,"Sockeye",1950,NA,"CC"
584,"Sockeye",1950,NA,"CC"
585,"Sockeye",1950,NA,"CC"
586,"Sockeye",1950,NA,"CC"
587,"Sockeye",1950,NA,"CC"
588,"Sockeye",1950,NA,"CC"
589,"Sockeye",1950,NA,"CC"
590,"Sockeye",1950,NA,"CC"
591,"Sockeye",1950,NA,"CC"
592,"Sockeye",1950,NA,"CC"
593,"Sockeye",1950,NA,"CC"
594,"Sockeye",1950,NA,"CC"
595,"Sockeye",1950,NA,"CC"
596,"Sockeye",1950,NA,"CC"
597,"Sockeye",1950,NA,"CC"
598,"Sockeye",1950,NA,"CC"
599,"Sockeye",1950,NA,"CC"
600,"Sockeye",1950,NA,"CC"
601,"Sockeye",1950,NA,"CC"
602,"Sockeye",1950,NA,"CC"
603,"Sockeye",1950,NA,"CC"
604,"Sockeye",1950,NA,"CC"
605,"Sockeye",1950,NA,"CC"
606,"Sockeye",1950,NA,"CC"
607,"Sockeye",1950,NA,"CC"
608,"Pink (Even)",1950,NA,"CC"
609,"Pink (Even)",1950,NA,"CC"
610,"Pink (Odd)",1950,NA,"CC"
611,"Pink (Odd)",1950,NA,"CC"
