"cuid","cuname.x","cu_acronym","du_number","du_acronym","DU_name","DU_name_short","FULL_CU_IN","spp","gen_length","COSEWIC_status","survey_quality","survey_coverage","survey_execution","catch_quality","dq_score","cu_enh_rank","Sites","Region"
305,"Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT","CK4","LFR+GStr/Stream/Summer(Upper Pitt)","Lower Fraser, Stream, Summer (Upper Pitt) population","Lower Fraser-Stream-Summer (Pitt)","CK-5","Chinook",5,"Endangered",0,0,0,0,0,"Low",1,"Fraser"
306,"Lower Fraser River_SU_1.3","LFR-summer","CK5","LFR+GStr/Stream/Summer","Lower Fraser, Stream, Summer (Lillooet) population","Lower Fraser-Stream-Summer (Lillooet) ","CK-6","Chinook",5,"Threatened",0,0,0,0,0,"Low",9,"Fraser"
307,"Maria Slough_SU_0.3","Maria","CK6","LFR+GStr/Ocean/Summer","Lower Fraser, Ocean, Summer (Maria Slough) population","Lower Fraser-Ocean-Summer","CK-7","Chinook",4,"Endangered",0,0,0,0,0,"High",1,"Fraser"
308,"Middle Fraser-Fraser Canyon_SP_1.3","NAHAT","CK7","FRCanyGStr/Stream/Spring","Middle Fraser, Stream, Spring (FR Canyon) population","Middle Fraser-Stream-Spring (FR Canyon)","CK-8","Chinook",5,"Endangered",0,0,0,0,0,"None",2,"Fraser"
309,"Middle Fraser River-Portage_FA_1.3","Portage","CK8","MFR+GStr/Stream/Fall","Middle Fraser, Stream, Fall (Portage) population","Middle Fraser-Stream-Fall (Portage)","CK-9","Chinook",5,"Endangered",0,0,0,0,0,"None",1,"Fraser"
310,"Middle Fraser River_SP_1.3","MFR-spring","CK9","MFR+GStr/Stream/Spring","Middle Fraser, Stream, Spring (MFR+GStr) population","Middle Fraser-Stream-Spring","CK-10","Chinook",5,"Threatened",2,0,5,0,7,"Moderate",25,"Fraser"
311,"Middle Fraser River_SU_1.3","MFR-summer","CK10","MFR+GStr/Stream/Summer","Middle Fraser, Stream, Summer population","Middle Fraser-Stream-Summer ","CK-11","Chinook",5,"Threatened",3,1,4,0,8,"Moderate",18,"Fraser"
312,"Upper Fraser River_SP_1.3","UFR-spring","CK11","UFR/Stream/Spring","Upper Fraser, Stream, Spring population","Upper Fraser-Stream-Spring ","CK-12","Chinook",5,"Endangered",2,0,5,0,7,"Low",43,"Fraser"
313,"South Thompson_SU_0.3","STh-0.3","CK12","STh+GStr/Ocean/Summer","South Thompson, Ocean, Summer population","South Thompson-Ocean-Summer ","CK-13","Chinook",4,"Not at risk",2,1,5,0,8,"None",10,"Fraser"
314,"South Thompson_SU_1.3","STh-1.3","CK13","STh+GStr/Stream/Summer","South Thompson, Stream, Summer 1.3 population","South Thompson-Stream-Summer ","CK-14","Chinook",5,"Endangered",3,5,5,0,13,"Moderate",4,"Fraser"
315,"Shuswap River_SU_0.3","STh-SHUR","CK12","STh+GStr/Ocean/Summer","South Thompson, Ocean, Summer population","South Thompson-Ocean-Summer ","CK-15","Chinook",4,"Not at risk",4,5,5,0,14,"Moderate",4,"Fraser"
316,"South Thompson-Bessette Creek_SU_1.2","STh-BESS","CK14","STh+GStr/Stream/Summer/(Bessette)","South Thompson, Stream, Summer 1.2 (Bessette) population","South Thompson-Stream-Summer ","CK-16","Chinook",4,"Endangered",3,0,5,0,8,"None",4,"Fraser"
317,"Lower Thompson_SP_1.2","LTh","CK15","LTh+GStr/Stream/Spring","Lower Thompson, Stream, Spring population","Lower Thompson-Stream-Spring","CK-17","Chinook",4,"Endangered",3,5,5,0,13,"Moderate",9,"Fraser"
318,"North Thompson_SP_1.3","NTh-spr","CK16","NTh+GStr/Stream/Spring","North Thompson, Stream, Spring population","North Thompson-Stream-Spring","CK-18","Chinook",5,"Endangered",3,1,5,0,9,"Low",7,"Fraser"
319,"North Thompson_SU_1.3","NTh-sum","CK17","NTh+Gstr/Stream/Summer","North Thompson, Stream, Summer population","North Thompson-Stream-Summer","CK-19","Chinook",5,"Endangered",2,3,5,0,10,"Low",7,"Fraser"
320,"Southern Mainland-Georgia Strait_FA_0.x","SC-GStr","CK18","SC+GStr/Ocean/Fall","South Coast - Georgia Strait, Ocean, Fall population","Georgia Strait-Ocean-Fall","CK-20","Chinook",4,"Data Deficient",0,0,0,0,0,"High",39,"VIMI"
321,"East Vancouver Island-Goldstream_FA_0.x","Goldstr","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","ECVI-Ocean-Fall","CK-21","Chinook",3,"Special Concern",0,5,0,0,5,"High",2,"VIMI"
322,"East Vancouver Island-Cowichan and Koksilah_FA_0.x","CWCH-KOK","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","ECVI-Ocean-Fall","CK-22","Chinook",3,"Special Concern",5,5,5,0,15,"High",7,"VIMI"
323,"East Vancouver Island-Nanaimo_SP_1.x","NanR-spr","CK19","EVI+GStr/Stream/Spring","East Vancouver Island, Stream, Spring population","ECVI-Stream-Spring","CK-23","Chinook",4,"Endangered",0,0,0,0,0,"None",1,"VIMI"
324,"East Vancouver Island-Nanaimo and Chemainus_FA_0.x","EVI-fall","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","ECVI-Ocean-Fall","CK-25","Chinook",3,"Special Concern",3,5,5,0,13,"High",6,"VIMI"
325,"East Vancouver Island-Qualicum and Puntledge_FA_0.x","QP-fall","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","ECVI-Ocean-Fall","CK-27","Chinook",4,"Special Concern",3,5,5,0,13,"High",16,"VIMI"
326,"Southern Mainland-Southern Fjords_FA_0.x","SC+SFj","CK22","SC+SFj/Ocean/Fall","South Coast - Southern Fjords, Ocean, Fall population","Southern Fjords-Ocean-Fall","CK-28","Chinook",4,"Data Deficient",3,0,2,0,5,"High",27,"VIMI"
327,"East Vancouver Island-North_FA_0.x","NEVI","CK23","EVI+SFj/Ocean/Fall","East Vancouver Island - North, Ocean, Fall (EVI + SFj) population","ECVI-North-Ocean-Fall","CK-29","Chinook",4,"Not at risk",4,5,5,0,14,"High",19,"VIMI"
328,"West Vancouver Island-South_FA_0.x","SWVI","CK24","WVI/Ocean/Fall (South)","West Vancouver Island, Ocean, Fall (South) population","WCVI-Ocean-Fall (south)","CK-31","Chinook",4,"Threatened",3,0,4,0,7,"High",70,"VIMI"
329,"West Vancouver Island-Nootka and Kyuquot_FA_0.x","NoKy","CK25","WVI/Ocean/Fall (Nootka & Kyuquot)","West Vancouver Island, Ocean, Fall (Nootka & Kyuquot) population","WCVI-Ocean-Fall (Nootka & Kyuquot)","CK-32","Chinook",4,"Threatened",3,0,5,0,8,"High",57,"VIMI"
330,"West Vancouver Island-North_FA_0.x","NWVI","CK26","WVI+WHG/Ocean/Fall","West Vancouver Island - North, Ocean, Fall (WVI + WQCI) population","WCVI-Ocean, Fall (WVI + WQCI)","CK-33","Chinook",4,"Data Deficient",3,0,2,0,5,"High",19,"VIMI"
331,"Homathko_SU_x.x","HOMATH","CK27","HK+SFj/Ocean/Summer","Southern Mainland Ocean Summer","Southern Mainland-Ocean-Summer","CK-34","Chinook",5,"Data Deficient",0,0,0,0,0,"None",2,"VIMI"
332,"Klinaklini_SU_1.3","KLINA","CK28","HK+SFj/Stream/Summer","Southern Mainland Stream Summer","Southern Mainland-Stream-Summer","CK-35","Chinook",5,"Data Deficient",0,0,0,0,0,"None",2,"VIMI"
333,"Upper Adams River_SU_x.x","UAdams-summer","CK29","STh+GStr/Stream/Summer","Upper Adams, Stream, Summer","Upper Adams-Stream-Summer","CK-82","Chinook",5,NA,0,0,0,0,0,"None",1,"Fraser"
334,"East Vancouver Island-Georgia Strait_SU_0.3","EVIGStr-sum","CK20","EVI+GStr/Ocean/Summer","East Vancouver Island, Ocean, Summer population","ECVI-Ocean-Summer","CK-83","Chinook",4,"Endangered",4,5,5,0,14,"High",2,"VIMI"
401,"Portland Sound-Observatory Inlet-Lower Nass",NA,"CK49","LNR-P","Lower Nass River, Stream, Summer","Lower Nass River-Stream-Summer","CK-57","Chinook",5,"Status assessment recommended",1,2,2,5,10,"Low",16,"Nass"
402,"Upper Nass",NA,"CK50","UNR","Upper Nass River, Stream, Summer","Upper Nass-Stream-Summer","CK-58","Chinook",5,"Status assessment recommended",2,5,5,5,17,"None",17,"Nass"
509,"Docee",NA,"CK32","SMITH","Smith Inlet, Ocean, Summer","Smith Inlet-Ocean-Summer","CK-36","Chinook",4,NA,0,0,0,0,0,"None",1,"CC"
510,"Rivers Inlet",NA,"CK33","RIVERS","Rivers Inlet, Stream, Summer","Rivers Inlet-Stream-Summer","CK-37","Chinook",5,NA,1,3,1,3,8,"Low",14,"CC"
511,"Wannock",NA,"CK34","WANN","Wannock","Wannock","CK-38","Chinook",5,NA,1,3,2,3,9,"Moderate",1,"CC"
512,"Bella Coola-Bentinck",NA,"CK35","BCR-BENT","Bella Coola-Bentinck, Ocean, Summer","Bella Coola/Bentinck-Ocean-Summer","CK-39","Chinook",5,NA,1,5,2,5,13,"High",9,"CC"
513,"Dean River",NA,"CK36","DEAN","Dean River, Stream, Summer","Dean River-Stream-Summer","CK-40","Chinook",5,NA,1,5,1,3,10,"None",1,"CC"
514,"NCC-late timing",NA,"CK37","NCC Late","North & Central Coast Late, Ocean/Stream, Summer","NCC late-Ocean/Stream- Summer","CK-41","Chinook",5,NA,0,0,0,0,0,"None",16,"CC"
515,"NCC-early timing",NA,"CK38","NCC early","North & Central Coast Early, Ocean, Spring","NCC early-Ocean-Spring","CK-42","Chinook",5,NA,0,1,3,3,7,"Moderate",46,"CC"
805,"Haida Gwaii-North",NA,"CK30","HGN","Haida Gwaii-North Ocean/Stream, Summer","North-Ocean/Stream-Summer","CK-43","Chinook",6,NA,0,0,0,0,0,"Moderate",2,"HG"
806,"Haida Gwaii-East",NA,"CK31","HGE","Haida Gwaii-East Ocean, Fall","East-Ocean-Fall","CK-44","Chinook",6,NA,0,0,0,0,0,"None",6,"HG"
1004,"ALSEK","ALSEK","CK59","ALSEK","Alsek Stream Summer","Alsek-Stream-Summer","CK-67","Chinook",NA,NA,NA,NA,NA,NA,NA,NA,5,"Transboundary"
1005,"LYNN CANAL","LYNN","CK58","LYNN","Chilkat Stream Spring","Chilkat-Stream-Spring","CK-66","Chinook",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Transboundary"
1006,"TAKU-EARLY TIMING","Taku-early","CK55","TAKU-E","Taku - early Stream Summer","Taku early-Stream-Summer","CK-63","Chinook",NA,NA,NA,NA,NA,NA,NA,NA,4,"Transboundary"
1007,"TAKU-MID TIMING","Taku-mid","CK56","TAKU-M","Taku - mid Stream Summer","Taku mid-Stream-Summer","CK-64","Chinook",NA,NA,NA,NA,NA,NA,NA,NA,1,"Transboundary"
1008,"TAKU-LATE TIMING","Taku-late","CK57","TAKU-L","Taku - late Stream Summer","Taku late-Stream-Summer","CK-65","Chinook",NA,NA,NA,NA,NA,NA,NA,NA,4,"Transboundary"
1009,"WHITING RIVER","WHITING","CK54","WHITING","Whiting River, Stream Summer","Whiting-Stream-Summer","CK-62","Chinook",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Transboundary"
1010,"STIKINE-EARLY TIMING","LSTK-early","CK52","LSTK-E","Stikine - early timing Stream Summer","Stikine early-Stream-Summer","CK-60","Chinook",NA,NA,NA,NA,NA,NA,NA,NA,4,"Transboundary"
1011,"STIKINE-LATE TIMING","LSTK-late","CK53","LSTK-L","Stikine - late Stream Summer timing","Stikine late-Stream-Summer","CK-61","Chinook",NA,NA,NA,NA,NA,NA,NA,NA,3,"Transboundary"
1012,"UNUK RIVER","UNUK","CK51","UNUK","Unuk River, Stream Summer","Unuk-Stream-Summer","CK-59","Chinook",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Transboundary"
1201,"Big Salmon","BigSal","CK61","BSALR","Big Salmon River Stream Summer","Big Salmon-Stream-Summer","CK-70","Chinook",5,NA,NA,NA,NA,NA,NA,NA,NA,"Yukon"
1202,"Nordenskiold","Norden","CK62","NORDEN","Nordenskiold Stream Summer","Nordenskiold-Stream-Summer","CK-71","Chinook",5,NA,NA,NA,NA,NA,NA,NA,1,"Yukon"
1203,"Pelly","Pelly","CK64","PELLY","Pelly River Stream Summer","Pelly-Stream-Summer","CK-72","Chinook",5,NA,NA,NA,NA,NA,NA,NA,17,"Yukon"
1204,"Middle Yukon River and tributaries","MidYR","CK63","MidYR","Mid-Yukon River and Trib Stream Summer","Mid-Yukon-Stream-Summer","CK-73","Chinook",5,NA,NA,NA,NA,NA,NA,NA,3,"Yukon"
1205,"Stewart","Stew","CK64","PELLY","Pelly River Stream Summer","Pelly-Stream-Summer","CK-74","Chinook",5,NA,NA,NA,NA,NA,NA,NA,5,"Yukon"
1206,"White and tributaries","White","CK65","WHITE","White River and Trib Stream Summer","White-Stream-Summer","CK-75","Chinook",5,NA,NA,NA,NA,NA,NA,NA,2,"Yukon"
1207,"Northern Yukon River and tributaries","NYR","CK66","NYR","N Yukon River and Trib Stream Summer","N Yukon-Stream-Summer","CK-76","Chinook",5,NA,NA,NA,NA,NA,NA,NA,4,"Yukon"
1208,"Salmon Fork","SFork",NA,NA,NA,NA,"CK-77","Chinook",5,NA,NA,NA,NA,NA,NA,NA,NA,"Yukon"
1209,"Yukon","YK","CK67","PORCR","Porcupine River Stream Summer","Porcupine-Stream-Summer","CK-78","Chinook",5,NA,NA,NA,NA,NA,NA,NA,1,"Yukon"
1210,"Old Crow","OldC","CK68","OCROW","Old Crow River Stream Summer","Old Crow-Stream-Summer","CK-79","Chinook",5,NA,NA,NA,NA,NA,NA,NA,NA,"Yukon"
1211,"Upper Yukon River","UpperYR","CK60","YUK-TESLIN","Yukon - Teslin Headwaters Stream Summer","Yukon/Teslin-Stream Summer","CK-69","Chinook",5,NA,NA,NA,NA,NA,NA,NA,8,"Yukon"
1212,"Yukon River-Teslin headwaters","Teslin","CK60","YUK-TESLIN","Yukon - Teslin Headwaters Stream Summer","Yukon/Teslin-Stream Summer","CK-68","Chinook",5,NA,NA,NA,NA,NA,NA,NA,8,"Yukon"
NA,"Port San Juan","PSJ","CK24","WVI/Ocean/Fall (South)","West Vancouver Island, Ocean, Fall (South) population","West Vancouver Island, Ocean, Fall (South) population","CK-30","Chinook",NA,"Threatened",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"CK39","HecLow","HecLow, Ocean/Stream, Summer","HecLow, Ocean/Stream, Summer",NA,"Chinook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"(P)Hatchery Exclusion-Lower Fraser River",NA,NA,NA,NA,NA,NA,"Chinook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"includes production from major hatchery facilities at Conuma, Stamp, and Nitinat rivers",NA,NA,NA,NA,NA,NA,"Chinook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,"Lower Skeena-CO","LSKNA","CO26","LSK","Lower Skeena","Lower Skeena","CO-32","Coho",3,NA,1,3,2,3,9,"Moderate",93,"Skeena"
215,"Middle Skeena-CO","MSKNA","CO27","MSK","Middle Skeena","Middle Skeena","CO-33","Coho",3,NA,1,2,2,3,8,"Moderate",90,"Skeena"
225,"Skeena Estuary-CO","NSKEst","CO25","NSKEst","Skeena Estuary","Skeena Estuary","CO-31","Coho",3,NA,0,0,0,0,0,"Moderate",30,"Skeena"
231,"Upper Skeena-CO","USKNA","CO28","USK","Upper Skeena","Upper Skeena","CO-34","Coho",3,NA,4,4,3,3,14,"None",19,"Skeena"
408,"Lower Nass","LNASS","CO29","LNR-P","Lower Nass - Portland Canal","Portland Canal","CO-35","Coho",3,NA,1,1,4,3,9,"Low",23,"Nass"
409,"Upper Nass","UNASS","CO30","UNR","Upper Nass","Upper Nass","CO-36","Coho",3,NA,2,2,4,3,11,"None",13,"Nass"
410,"Portland Sound-Observatory Inlet-Portland Canal","PORT","CO29","LNR-P","Lower Nass - Portland Canal","Portland Canal","CO-37","Coho",3,NA,1,1,2,3,7,"Low",33,"Nass"
516,"Smith Inlet","Smith","CO21","RSI","Rivers-Smith Inlet","Rivers/Smith","CO-20","Coho",3,NA,1,5,1,3,10,"None",13,"CC"
517,"Rivers Inlet","Rivers","CO21","RSI","Rivers-Smith Inlet","Rivers/Smith","CO-21","Coho",3,NA,0,0,0,0,0,"Moderate",24,"CC"
518,"Bella Coola-Dean Rivers","BCD","CO22","BCD","Bella Coola - Dean Rivers","Bella Coola/Dean ","CO-22","Coho",3,NA,1,5,4,1,11,"Moderate",32,"CC"
519,"Mussel-Kynoch","MusKyn","CO24","NCS","Northern Coastal Streams","Northern Coastal Streams","CO-26","Coho",3,NA,1,3,2,1,7,"None",14,"CC"
520,"Hecate Strait Mainland","HecLow+HStr","CO23","HecLow","Hecate Strait Mainland","Hecate Strait Mainland","CO-27","Coho",3,NA,1,3,1,1,6,"Moderate",185,"CC"
520,"Hecate Strait Mainland","HecLow+HStr","CO23","HecLow","Hecate Strait Mainland","Hecate Strait Mainland","CO-27","Coho",3,NA,1,3,1,1,6,"Moderate",185,"CC"
521,"Brim-Wahoo","BRIM","CO24","NCS","Northern Coastal Streams","Northern Coastal Streams","CO-28","Coho",3,NA,0,5,5,1,11,"None",NA,"CC"
522,"Douglas Channel-Kitimat Arm","DOUG","CO24","NCS","Northern Coastal Streams","Northern Coastal Streams","CO-29","Coho",3,NA,0,2,4,1,7,"Moderate",33,"CC"
523,"N Coastal Streams","NCS","CO24","NCS","Northern Coastal Streams","Northern Coastal Streams","CO-30","Coho",3,NA,1,5,4,1,11,"Low",62,"CC"
704,"Lillooet","LILL","CO03","LILL","Lillooet","Lillooet","CO-4","Coho",3,NA,0,0,0,0,0,"Moderate",16,"Fraser"
705,"Fraser Canyon","FRCany","CO04","FRCany","Fraser Canyon","Fraser Canyon","CO-5","Coho",3,"Threatened",3,0,5,0,8,"Moderate",10,"Fraser"
707,"Lower Thompson","LTHOM","CO06","LTHOM","Lower Thompson","Lower Thompson","CO-7","Coho",3,"Threatened",5,0,5,0,10,"Moderate",9,"Fraser"
708,"South Thompson","STHOM","CO07","STHOM","South Thompson","South Thompson","CO-8","Coho",3,"Threatened",3,0,4,0,7,"Moderate",46,"Fraser"
709,"North Thompson","NTHOM","CO08","NTHOM","North Thompson","North Thompson","CO-9","Coho",3,"Threatened",3,0,5,0,8,"Moderate",37,"Fraser"
749,"Interior Fraser","MFR","CO05","MFR","Middle Fraser","Middle Fraser","CO-48","Coho",3,"Threatened",3,0,4,0,7,"None",23,"Fraser"
750,"Lower Fraser","LFR","CO02","LFR","Lower Fraser","Lower Fraser","CO-47","Coho",3,NA,0,0,0,0,0,"Moderate",114,"Fraser"
807,"HG-EAST","EQCI","CO20","EHG","Haida Gwaii - East","East","CO-23","Coho",3,NA,1,1,3,3,8,"Moderate",110,"HG"
808,"HG-WEST","WQCI","CO18","WHG","Haida Gwaii - West","West","CO-24","Coho",3,NA,1,1,2,3,7,"Low",66,"HG"
809,"HG-GRAHAM ISLAND LOWLANDS","NQCI","CO19","NHG","Haida Gwaii - North","North","CO-25","Coho",3,NA,1,1,3,3,8,"Moderate",28,"HG"
906,"Boundary Bay","BB","CO01","BB","Boundary Bay","Boundary Bay","CO-1","Coho",3,NA,0,0,0,0,0,"High",4,"Fraser"
907,"Howe Sound-Burrard Inlet","Howe-Burrard","CO10","Howe-Burrard","Howe Sound-Burrard Inlet","Howe Sound-Burrard Inlet","CO-10","Coho",3,NA,0,0,0,0,0,"Moderate",69,"VIMI"
908,"Georgia Strait Mainland","SC+GStr","CO09","SC+GStr","Georgia Strait Mainland","Georgia Strait Mainland","CO-11","Coho",3,NA,3,0,2,0,5,"Moderate",57,"VIMI"
909,"Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords","SC+SFj","CO12","SC+SFj","South Coastal Streams-QCStr-JStr-SFjords","South Coastal Streams","CO-12","Coho",3,NA,3,0,1,0,4,"Moderate",117,"VIMI"
910,"East Vancouver Island-Georgia Strait","EVI+GStr","CO11","EVI+GStr","East Vancouver Island-Georgia Strait","ECVI-Georgia Strait","CO-13","Coho",3,NA,3,0,2,0,5,"Moderate",108,"VIMI"
911,"East Vancouver Island-Johnstone Strait-Southern Fjords","EVI+SFj","CO14","EVI+SFj","E Vancouver Is ? Johnstone Strait-SFjords","ECVI-Johnstone Strait-S Fjords","CO-14","Coho",3,NA,3,0,5,0,8,"Moderate",16,"VIMI"
912,"Nahwitti Lowland","Nahwitti","CO17","NWVI","Northwest Vancouver Island","Northwest VI","CO-15","Coho",3,NA,4,0,5,0,9,"Moderate",76,"VIMI"
913,"Juan de Fuca-Pachena","JdF","CO16","JdF","Juan de Fuca-Pachena","Juan de Fuca-Pachena","CO-16","Coho",3,NA,3,0,3,0,6,"Moderate",26,"VIMI"
914,"West Vancouver Island","WVI","CO15","WVI","West Vancouver Island","West VI","CO-17","Coho",3,NA,3,0,3,0,6,"Moderate",126,"VIMI"
915,"Clayoquot","CLAY","CO15","WVI","West Vancouver Island","West VI","CO-18","Coho",3,NA,3,0,3,0,6,"Moderate",46,"VIMI"
916,"Homathko-Klinaklini Rivers","HK","CO13","HK+SFj","Homathko-Klinaklini","Homathko-Klinaklini","CO-19","Coho",3,NA,0,0,0,0,0,"None",4,"VIMI"
1013,"ALSEK RIVER","Alsek","CO36","Alsek","Alsek","Alsek","CO-45","Coho",3,NA,NA,NA,NA,NA,NA,NA,1,"Transboundary"
1014,"LYNN CANAL","LYNN","CO35","LYNN","Chilkat","Chilkat","CO-44","Coho",3,NA,NA,NA,NA,NA,NA,NA,NA,"Transboundary"
1015,"TAKU-LATE TIMING","Taku","CO34","Taku","Taku","Taku","CO-42","Coho",3,NA,NA,NA,NA,NA,NA,NA,NA,"Transboundary"
1016,"WHITING RIVER","Whiting","CO33","Whiting","Whiting River","Whiting River","CO-40","Coho",3,NA,NA,NA,NA,NA,NA,NA,NA,"Transboundary"
1017,"LOWER STIKINE","LStk","CO32","LStk","Lower Stikine","Lower Stikine","CO-39","Coho",3,NA,NA,NA,NA,NA,NA,NA,8,"Transboundary"
1018,"UNUK RIVER","UNUK","CO31","Unuk","Unuk","Unuk","CO-38","Coho",3,NA,NA,NA,NA,NA,NA,NA,NA,"Transboundary"
1034,"TAKU-EARLY TIMING","Taku","CO34","Taku","Taku","Taku","CO-41","Coho",3,NA,NA,NA,NA,NA,NA,NA,8,"Transboundary"
1035,"TAKU-MID TIMING","Taku","CO34","Taku","Taku","Taku","CO-43","Coho",3,NA,NA,NA,NA,NA,NA,NA,NA,"Transboundary"
1120,"Porcupine River","PORC","CO37","Yukon","Porcupine","Porcupine","CO-46","Coho",3,NA,NA,NA,NA,NA,NA,NA,NA,"Yukon"
242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"None",NA,"Skeena"
335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fraser"
1220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yukon"
1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,"Columbia"
209,"Lower Skeena (odd)",NA,"PO24",NA,"Lower Skeena","Lower Skeena","PKO-15","Pink",2,NA,1,3,2,3,9,"None",58,"Skeena"
213,"Middle & Upper Skeena (odd)",NA,"PO25",NA,"Middle Skeena","Middle Skeena","PKO-16","Pink",2,NA,1,3,2,3,9,"None",65,"Skeena"
213,"Middle & Upper Skeena (odd)",NA,"PO26",NA,"Upper Skeena","Upper Skeena","PKO-16","Pink",2,NA,1,3,2,3,9,"None",65,"Skeena"
218,"Middle-Upper Skeena (even)",NA,"PE17",NA,"Middle Skeena","Middle Skeena","PKE-08","Pink",2,NA,0,4,2,3,9,"None",NA,"Skeena"
218,"Middle-Upper Skeena (even)",NA,"PE18",NA,"Upper Skeena","Upper Skeena","PKE-08","Pink",2,NA,0,4,2,3,9,"None",NA,"Skeena"
